season,cut,team,D
2022,3,Oregon,-0.0013537754345656922
2022,3,Oregon State,0.007618880057954412
2022,3,Penn State,-0.0016376007957839825
2022,3,Pittsburgh,-0.009323356101854391
2022,3,Purdue,0.00245553887192581
2022,3,Rice,-0.03214069246514973
2022,3,Rutgers,0.012302784646406686
2022,3,SMU,0.011400346868261784
2022,3,San Diego State,-0.017440737378288548
2022,3,San José State,-0.020497876419404534
2022,3,South Alabama,-0.00010884550499334618
2022,3,South Carolina,-0.04449525261992553
2022,3,South Florida,-0.007154279137289633
2022,3,Southern Miss,-0.004028865483975176
2022,3,Stanford,8.079027660453167e-05
2022,3,Syracuse,0.002579844376346067
2022,3,TCU,0.01075085735359286
2022,3,Temple,-0.000981775600121301
2022,3,Tennessee,0.015229267216429988
2022,3,Texas,0.005073259395497752
2022,3,Texas A&M,-0.010829021007175555
2022,3,Texas State,0.004146231027398298
2022,3,Texas Tech,-0.011893687419587462
2022,3,Toledo,0.004172383710611728
2022,3,Troy,-0.007138758852577659
2022,3,Tulane,0.012416175335218126
2022,3,Tulsa,0.004586984652690193
2022,3,UAB,0.007214188059454881
2022,3,UCF,0.0011710471551177443
2022,3,UCLA,0.011773315988637265
2022,3,UConn,-0.014082364769346994
2022,3,UL Monroe,-0.02486768397023666
2022,3,UNLV,-0.0029490686633980496
2022,3,USC,0.010993608557474732
2022,3,UTEP,-0.013190127745042635
2022,3,UTSA,-0.020863621519175472
2022,3,Utah,0.0022178671597819985
2022,3,Utah State,-0.013773751614583836
2022,3,Vanderbilt,0.0015732770785826594
2022,3,Virginia,-0.016871855069715176
2022,3,Virginia Tech,-0.007473372295260036
2022,3,Wake Forest,0.014692849788147102
2022,3,Washington,0.018123907395859642
2022,3,Washington State,0.0057006652123024444
2022,3,West Virginia,-0.0050678275007440005
2022,3,Western Kentucky,-0.008902821842646399
2022,3,Western Michigan,-0.03258637899228215
2022,3,Wisconsin,0.02268608475172776
2022,3,Wyoming,0.010718104698374057
2022,6,Air Force,0.019221955721099627
2022,6,Akron,-0.034910644398348074
2022,6,Alabama,0.030522149943854063
2022,6,App State,-0.001511070911075242
2022,6,Arizona,-0.009339017533322901
2022,6,Arizona State,-0.018330462180413357
2022,6,Arkansas,0.010357259400999885
2022,6,Arkansas State,-0.0074504179011793846
2022,6,Army,-0.024165728408882006
2022,6,Auburn,-0.017125594421027755
2022,6,Ball State,-0.003614681101415358
2022,6,Baylor,0.01453989620154567
2022,6,Boise State,0.01466407834199334
2022,6,Boston College,-0.020246386710825477
2022,6,Bowling Green,-0.005957026854435717
2022,6,Buffalo,-0.037423803436871426
2022,6,California,-0.020845841999752757
2022,6,Central Michigan,-0.02097458639242993
2022,6,Charlotte,-0.03605046606618426
2022,6,Cincinnati,0.02063736812664713
2022,6,Clemson,0.02701967481602385
2022,6,Coastal Carolina,0.00497742940482366
2022,6,Colorado,-0.05237900868393162
2022,6,Colorado State,-0.021076653347843373
2022,6,Duke,0.024925406273514146
2022,6,East Carolina,-0.0032608136592435556
2022,6,Eastern Michigan,0.004036131795578828
2022,6,Florida,0.0100094810162112
2022,6,Florida Atlantic,-0.009827841208324575
2022,6,Florida International,-0.025303082787304896
2022,6,Florida State,0.00018266799638088716
2022,6,Fresno State,-0.014630823712539567
2022,6,Georgia,0.03155383910131598
2022,6,Georgia Southern,-0.016646939436983407
2022,6,Georgia State,-0.0221050530899549
2022,6,Georgia Tech,-0.018682807221769963
2022,6,Hawai'i,-0.013822621163276207
2022,6,Houston,0.006330931143361478
2022,6,Illinois,0.028504079162747425
2022,6,Indiana,-0.03653592110647586
2022,6,Iowa,0.0015221875600593302
2022,6,Iowa State,-0.00033918226516084797
2022,6,James Madison,0.02150427871582024
2022,6,Kansas,0.005128169210822255
2022,6,Kansas State,0.022186555316917843
2022,6,Kent State,-0.0014069623503830866
2022,6,Kentucky,-0.007581383222284362
2022,6,LSU,0.013623604073630663
2022,6,Louisiana,-0.0004463655843307346
2022,6,Louisiana Tech,-0.02422674581047088
2022,6,Louisville,-0.002953013997098784
2022,6,Marshall,-0.011670424152759791
2022,6,Maryland,0.0035568262937065564
2022,6,Massachusetts,-0.0301445241381773
2022,6,Memphis,0.002109572710727464
2022,6,Miami,0.016045115431206028
2022,6,Miami (OH),-0.016514032278334458
2022,6,Michigan,0.04273832966622304
2022,6,Michigan State,-0.010255280027679873
2022,6,Middle Tennessee,-0.01700474085672053
2022,6,Minnesota,0.029371801602459332
2022,6,Mississippi State,-0.00278955163213088
2022,6,Missouri,-0.012205094938453233
2022,6,NC State,-0.0048947304609476714
