team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Colorado,2015,13,4,0.3076923076923077,-2.8461538461538463,24.615384615384617,27.46153846153846,PAC
Colorado,2016,14,10,0.7142857142857143,9.357142857142858,31.071428571428573,21.714285714285715,PAC
Colorado,2017,12,5,0.4166666666666667,-1.75,26.416666666666668,28.166666666666668,PAC
Colorado,2018,12,5,0.4166666666666667,-0.16666666666666666,27.083333333333332,27.25,PAC
Colorado,2019,12,5,0.4166666666666667,-8.333333333333334,23.5,31.833333333333332,PAC
Colorado,2021,12,4,0.3333333333333333,-7.916666666666667,18.75,26.666666666666668,PAC
Colorado,2022,12,1,0.08333333333333333,-29.083333333333332,15.416666666666666,44.5,PAC
Colorado,2023,12,4,0.3333333333333333,-6.666666666666667,28.166666666666668,34.833333333333336,PAC
Colorado,2024,13,9,0.6923076923076923,9.846153846153847,32.92307692307692,23.076923076923077,B12
Colorado,2025,12,3,0.25,-9.583333333333334,20.916666666666668,30.5,Big 12
Colorado State,2014,13,10,0.7692307692307693,8.846153846153847,33.92307692307692,25.076923076923077,MWC
Colorado State,2015,13,7,0.5384615384615384,2.3846153846153846,29.615384615384617,27.23076923076923,MWC
Colorado State,2016,13,7,0.5384615384615384,4.923076923076923,35.30769230769231,30.384615384615383,MWC
Colorado State,2017,13,7,0.5384615384615384,5.615384615384615,33.38461538461539,27.76923076923077,MWC
Colorado State,2018,12,3,0.25,-13.916666666666666,22.833333333333332,36.75,MWC
Colorado State,2019,12,4,0.3333333333333333,-3.0833333333333335,28.083333333333332,31.166666666666668,MWC
Colorado State,2021,12,3,0.25,-4.583333333333333,23.666666666666668,28.25,MWC
Colorado State,2022,12,3,0.25,-13.75,13.166666666666666,26.916666666666668,MWC
Colorado State,2023,12,5,0.4166666666666667,-3.5,26.083333333333332,29.583333333333332,MWC
Colorado State,2024,13,8,0.6153846153846154,-1.3846153846153846,24.384615384615383,25.76923076923077,MWC
Colorado State,2025,12,2,0.16666666666666666,-12.333333333333334,18.5,30.833333333333332,Mountain West
Delaware,2025,13,7,0.5384615384615384,-2.0,29.0,31.0,Conference USA
Duke,2014,13,9,0.6923076923076923,10.615384615384615,32.38461538461539,21.76923076923077,ACC
Duke,2015,13,8,0.6153846153846154,6.153846153846154,31.53846153846154,25.384615384615383,ACC
Duke,2016,12,4,0.3333333333333333,-4.833333333333333,23.333333333333332,28.166666666666668,ACC
Duke,2017,13,7,0.5384615384615384,6.3076923076923075,26.53846153846154,20.23076923076923,ACC
Duke,2018,13,8,0.6153846153846154,2.0,29.384615384615383,27.384615384615383,ACC
Duke,2019,12,5,0.4166666666666667,-3.9166666666666665,25.25,29.166666666666668,ACC
Duke,2021,12,3,0.25,-16.916666666666668,22.833333333333332,39.75,ACC
Duke,2022,13,9,0.6923076923076923,10.76923076923077,32.84615384615385,22.076923076923077,ACC
Duke,2023,13,8,0.6153846153846154,7.923076923076923,26.923076923076923,19.0,ACC
Duke,2024,13,9,0.6923076923076923,1.8461538461538463,26.307692307692307,24.46153846153846,ACC
Duke,2025,14,9,0.6428571428571429,5.142857142857143,34.57142857142857,29.428571428571427,ACC
East Carolina,2014,13,8,0.6153846153846154,10.0,35.84615384615385,25.846153846153847,AAC
East Carolina,2015,12,5,0.4166666666666667,1.4166666666666667,27.416666666666668,26.0,AAC
East Carolina,2016,12,3,0.25,-9.083333333333334,27.0,36.083333333333336,AAC
East Carolina,2017,12,3,0.25,-20.083333333333332,24.916666666666668,45.0,AAC
East Carolina,2018,12,3,0.25,-14.583333333333334,22.75,37.333333333333336,AAC
East Carolina,2019,12,4,0.3333333333333333,-6.916666666666667,26.75,33.666666666666664,AAC
East Carolina,2021,12,7,0.5833333333333334,3.4166666666666665,29.666666666666668,26.25,AAC
East Carolina,2022,13,8,0.6153846153846154,5.384615384615385,32.53846153846154,27.153846153846153,AAC
East Carolina,2023,12,2,0.16666666666666666,-5.083333333333333,17.333333333333332,22.416666666666668,AAC
East Carolina,2024,13,8,0.6153846153846154,4.6923076923076925,32.0,27.307692307692307,AAC
